32 0.223700 1.843750e-001 1.612742e+005
64 0.223700 1.824219e-001 1.677927e+005
128 0.223700 4.850830e-001 3.232981e+005
256 0.223700 4.865845e-001 1.223398e+006
512 0.223700 4.858643e-001 4.832794e+006


32 0.223700 4.718750e-001 1.344334e+004
64 0.223700 4.920898e-001 1.273738e+004
128 0.223700 4.859863e-001 1.311013e+004
256 0.223700 4.836243e-001 1.668712e+004
512 0.223700 4.845901e-001 4.971828e+004
1024 0.223700 4.875896e-001 1.822439e+005
2048 0.223700 4.876354e-001 7.185072e+005
4096 0.223700 4.874937e-001 2.711991e+006
8192 0.223700 4.875642e-001 1.043539e+007


256 0.223700 4.791931e-001 3.884214e+004
512 0.223700 3.576782e-001 3.845116e+004
1024 0.223700 1.945259e-001 3.979942e+004
2048 0.223700 1.143898e-001 8.319631e+004
4096 0.223700 7.387223e-002 2.725487e+005
8192 0.223700 4.840034e-002 9.436355e+005
16384 0.223700 4.243352e-002 3.978458e+006


256 0.223700 4.807312e-001 1.873261e+004
512 0.223700 3.619812e-001 1.875795e+004
1024 0.223700 2.881798e-001 1.910709e+004
2048 0.223700 2.487350e-001 4.726216e+004
4096 0.223700 2.351805e-001 1.674035e+005
8192 0.223700 2.214016e-001 6.227392e+005
16384 0.223700 2.186171e-001 2.445843e+006


256 0.223700 4.829651e-001 1.565826e+004
512 0.223700 3.613632e-001 1.579615e+004
1024 0.223700 2.865768e-001 1.586996e+004
2048 0.223700 2.562054e-001 4.196927e+004
4096 0.223700 2.345454e-001 1.516691e+005
8192 0.223700 2.215630e-001 5.782634e+005
16384 0.223700 2.202598e-001 2.288633e+006
