16 2.237000e-001 0.078125 216348.483887
32 2.237000e-001 0.076172 210934.275879
64 2.237000e-001 0.013672 219688.826172
128 2.237000e-001 0.008789 329380.209961
256 2.237000e-001 0.000244 1097054.844727
512 2.237000e-001 0.000000 4704790.217529
1024 2.237000e-001 0.000000 18403161.112061


16 2.237000e-001 0.132813 230843.618164
32 2.237000e-001 0.007813 234203.893066
64 2.237000e-001 0.042969 233913.458984
128 2.237000e-001 0.018555 324845.662109
256 2.237000e-001 0.001007 1209271.401367
512 2.237000e-001 0.002541 4712638.102295
1024 2.237000e-001 0.001678 18214947.477539
