1000 0.000006 1392589001.867607 
2000 0.000008 2057922845.752836 
3000 0.000008 3055495401.426620 
4000 0.000008 4057981194.255480 
5000 0.000009 4282633312.061264 
6000 0.000010 4608597733.775896 
7000 0.000012 4651109386.138614 
8000 0.000013 4889089445.405701 
